,locationId,location,entity,parameter,value,sensor_lat,sensor_lon,local_time
135,64955,AQSU-WindsorWest-1,Community Organization,pm25,14.3,42.29289,-83.073135,2023-06-06 17:39:32-04:00
136,64955,AQSU-WindsorWest-1,Community Organization,pm25,15.6,42.29289,-83.073135,2023-06-06 17:37:32-04:00
137,64955,AQSU-WindsorWest-1,Community Organization,pm25,15.5,42.29289,-83.073135,2023-06-06 17:35:32-04:00
138,64955,AQSU-WindsorWest-1,Community Organization,pm25,15.9,42.29289,-83.073135,2023-06-06 17:33:32-04:00
139,64955,AQSU-WindsorWest-1,Community Organization,pm25,16.0,42.29289,-83.073135,2023-06-06 17:31:32-04:00
140,64955,AQSU-WindsorWest-1,Community Organization,pm25,17.6,42.29289,-83.073135,2023-06-06 17:29:32-04:00
141,64955,AQSU-WindsorWest-1,Community Organization,pm25,17.8,42.29289,-83.073135,2023-06-06 17:27:32-04:00
142,64955,AQSU-WindsorWest-1,Community Organization,pm25,16.8,42.29289,-83.073135,2023-06-06 17:25:32-04:00
143,64955,AQSU-WindsorWest-1,Community Organization,pm25,18.8,42.29289,-83.073135,2023-06-06 17:23:32-04:00
144,64955,AQSU-WindsorWest-1,Community Organization,pm25,19.6,42.29289,-83.073135,2023-06-06 17:21:32-04:00
145,64955,AQSU-WindsorWest-1,Community Organization,pm25,20.0,42.29289,-83.073135,2023-06-06 17:19:32-04:00
146,64955,AQSU-WindsorWest-1,Community Organization,pm25,21.2,42.29289,-83.073135,2023-06-06 17:17:32-04:00
147,64955,AQSU-WindsorWest-1,Community Organization,pm25,22.6,42.29289,-83.073135,2023-06-06 17:15:32-04:00
148,64955,AQSU-WindsorWest-1,Community Organization,pm25,20.4,42.29289,-83.073135,2023-06-06 17:13:32-04:00
149,64955,AQSU-WindsorWest-1,Community Organization,pm25,21.8,42.29289,-83.073135,2023-06-06 17:11:32-04:00
150,64955,AQSU-WindsorWest-1,Community Organization,pm25,21.8,42.29289,-83.073135,2023-06-06 17:09:32-04:00
151,64955,AQSU-WindsorWest-1,Community Organization,pm25,22.1,42.29289,-83.073135,2023-06-06 17:07:32-04:00
152,64955,AQSU-WindsorWest-1,Community Organization,pm25,21.1,42.29289,-83.073135,2023-06-06 17:05:31-04:00
